1M NTC Thermistor Accuracy Temperature Sensor 10K 1% 3950 Waterproof Probe

Features
  Measurement range: -20 Celsius ~ 105 Celsius
  Length of wire: 1 meter
  Size of probe: 5 x 30 mm
  Type: NTC 10K±1% 3950
  Typical Dissipation Constant: 5mW/Celsius
  Probe insulation resistance: >100MOhm
  Peak Voltage sustain time: 2 seconds, AC1800V 1mA 2 seconds


3950 10K Temperature resistance correspond

℃,Rmin(KΩ),Rnom(KΩ),Rmax(KΩ)
204,0.054,0.0587,0.063
205,0.054,0.0578,0.062
206,0.053,0.0570,0.061
207,0.052,0.0562,0.060
208,0.051,0.0553,0.059
209,0.051,0.0545,0.058
210,0.050,0.0536,0.058
211,0.049,0.0528,0.057
212,0.048,0.0520,0.056
213,0.047,0.0511,0.055
214,0.047,0.0503,0.054
215,0.046,0.0495,0.053
216,0.045,0.0487,0.052
217,0.044,0.0479,0.051
218,0.044,0.0470,0.050
219,0.043,0.0463,0.050
220,0.042,0.0455,0.049
221,0.041,0.0447,0.048
222,0.041,0.0439,0.047
223,0.040,0.0432,0.046
224,0.039,0.0425,0.046
225,0.039,0.0417,0.045
226,0.038,0.0410,0.044
227,0.037,0.0403,0.043
228,0.037,0.0396,0.043
229,0.036,0.0390,0.042
230,0.035,0.0383,0.041
231,0.035,0.0377,0.041
232,0.034,0.0370,0.040
233,0.034,0.0364,0.039
234,0.033,0.0358,0.039
235,0.033,0.0352,0.038
236,0.032,0.0346,0.037
237,0.031,0.0340,0.037
238,0.031,0.0335,0.036
239,0.030,0.0329,0.035
240,0.030,0.0324,0.035
241,0.029,0.0319,0.034
242,0.029,0.0314,0.034
243,0.028,0.0309,0.033
244,0.028,0.0304,0.033
245,0.028,0.0299,0.032
246,0.027,0.0295,0.032
247,0.027,0.0290,0.031
248,0.026,0.0286,0.031
249,0.026,0.0281,0.030
250,0.026,0.0277,0.030
251,0.025,0.0273,0.029
252,0.025,0.0269,0.029
253,0.024,0.0265,0.029
254,0.024,0.0261,0.028
255,0.024,0.0257,0.028
256,0.023,0.0254,0.027
257,0.023,0.0250,0.027
258,0.023,0.0247,0.027
259,0.022,0.0243,0.026
260,0.022,0.0240,0.026
261,0.022,0.0237,0.026
262,0.021,0.0233,0.025
263,0.021,0.0230,0.025
264,0.021,0.0227,0.025
265,0.021,0.0224,0.024
266,0.020,0.0221,0.024
267,0.020,0.0219,0.024
268,0.020,0.0216,0.023
269,0.020,0.0213,0.023
270,0.019,0.0210,0.023
271,0.019,0.0208,0.023
272,0.019,0.0205,0.022
273,0.019,0.0202,0.022
274,0.018,0.0200,0.022
275,0.018,0.0198,0.021
276,0.018,0.0195,0.021
277,0.018,0.0193,0.021
278,0.017,0.0190,0.021
279,0.017,0.0188,0.020
280,0.017,0.0186,0.020
281,0.017,0.0184,0.020
282,0.017,0.0181,0.020
283,0.016,0.0179,0.019
284,0.013,0.0135,0.014
285,0.012,0.0133,0.014
286,0.012,0.0131,0.014
287,0.012,0.0129,0.014
288,0.012,0.0127,0.014
289,0.012,0.0125,0.013
290,0.012,0.0124,0.013
291,0.011,0.0122,0.013
292,0.011,0.0120,0.013
293,0.011,0.0118,0.013
294,0.010,0.0107,0.011
295,0.011,0.0115,0.012
296,0.011,0.0113,0.012
297,0.010,0.0112,0.012
298,0.010,0.0110,0.012
299,0.010,0.0109,0.012
300,0.010,0.0107,0.011
